NUPATRIM    NUPROJ    DTMOVI      FLMOV    USUARIO                            DTOPERACAO    
36677       610       12/08/2025    I        BEA.SC                             12/08/2025    
29302       610       12/08/2025    I        BEA.SC                             12/08/2025    
36859       610       12/08/2025    I        BEA.SC                             12/08/2025    
36859       610       12/08/2025    I        BEA.SC                             12/08/2025    
29345       610       12/08/2025    I        BEA.SC                             12/08/2025    
29067       610       12/08/2025    I        BEA.SC                             12/08/2025    
29316       610       12/08/2025    I        BEA.SC                             12/08/2025    
29314       610       12/08/2025    I        BEA.SC                             12/08/2025    
29350       610       12/08/2025    I        BEA.SC                             12/08/2025    
29311       610       12/08/2025    I        BEA.SC                             12/08/2025    
29304       610       12/08/2025    I        BEA.SC                             12/08/2025    
29303       610       12/08/2025    I        BEA.SC                             12/08/2025    
29313       610       12/08/2025    I        BEA.SC                             12/08/2025    
29333       610       12/08/2025    I        BEA.SC                             12/08/2025    
29312       610       12/08/2025    I        BEA.SC                             12/08/2025    
9364        610       12/08/2025    I        BEA.SC                             12/08/2025    
32450       610       12/08/2025    I        BEA.SC                             12/08/2025    
32482       610       12/08/2025    I        BEA.SC                             12/08/2025    
32444       610       12/08/2025    I        BEA.SC                             12/08/2025    
32480       610       12/08/2025    I        BEA.SC                             12/08/2025    
32441       610       12/08/2025    I        BEA.SC                             12/08/2025    
32439       610       12/08/2025    I        BEA.SC                             12/08/2025    
28430       610       12/08/2025    I        BEA.SC                             12/08/2025    
36574       610       12/08/2025    I        BEA.SC                             12/08/2025    
36571       610       12/08/2025    I        BEA.SC                             12/08/2025    
36573       610       12/08/2025    I        BEA.SC                             12/08/2025    
36572       610       12/08/2025    I        BEA.SC                             12/08/2025    
36576       610       12/08/2025    I        BEA.SC                             12/08/2025    
36575       610       12/08/2025    I        BEA.SC                             12/08/2025    
36575       610       12/08/2025    I        BEA.SC                             12/08/2025    
36568       610       12/08/2025    I        BEA.SC                             12/08/2025    
36569       610       12/08/2025    I        BEA.SC                             12/08/2025    
36569       610       12/08/2025    I        BEA.SC                             12/08/2025    
29347       610       12/08/2025    I        BEA.SC                             12/08/2025    
29086       610       12/08/2025    I        BEA.SC                             12/08/2025    
29168       773       12/08/2025    I        BEA.SC                             12/08/2025    
29168       773       12/08/2025    I        BEA.SC                             12/08/2025    
29349       610       12/08/2025    I        BEA.SC                             12/08/2025    
29073       610       12/08/2025    I        BEA.SC                             12/08/2025    
28724       610       12/08/2025    I        BEA.SC                             12/08/2025    
29077       610       12/08/2025    I        BEA.SC                             12/08/2025    
29076       610       12/08/2025    I        BEA.SC                             12/08/2025    
29074       610       12/08/2025    I        BEA.SC                             12/08/2025    
29075       610       12/08/2025    I        BEA.SC                             12/08/2025    
37100       917       12/08/2025    I        TIAGOP                             12/08/2025    
13914       917       12/08/2025    I        TIAGOP                             12/08/2025    
37100       917       12/08/2025    I        TIAGOP                             12/08/2025    
13924       917       12/08/2025    I        TIAGOP                             12/08/2025    
10340       917       12/08/2025    I        TIAGOP                             12/08/2025    
10340       917       12/08/2025    I        TIAGOP                             12/08/2025    
36118       917       12/08/2025    I        TIAGOP                             12/08/2025    
13934       917       12/08/2025    I        TIAGOP                             12/08/2025    
36122       917       12/08/2025    I        TIAGOP                             12/08/2025    
36122       917       12/08/2025    I        TIAGOP                             12/08/2025    
13932       917       12/08/2025    I        TIAGOP                             12/08/2025    
13932       917       12/08/2025    I        TIAGOP                             12/08/2025    
36421       610       12/08/2025    I        BEA.SC                             12/08/2025    
17653       999915    12/08/2025    I        TIAGOP                             12/08/2025    
17653       917       12/08/2025    I        TIAGOP                             12/08/2025    
13920       917       12/08/2025    I        TIAGOP                             12/08/2025    
13921       917       12/08/2025    I        TIAGOP                             12/08/2025    
29190       610       12/08/2025    I        BEA.SC                             12/08/2025    
36517       610       12/08/2025    I        BEA.SC                             12/08/2025    
28991       610       12/08/2025    I        BEA.SC                             12/08/2025    
28991       610       12/08/2025    I        BEA.SC                             12/08/2025    
37018       610       12/08/2025    I        BEA.SC                             12/08/2025    
13934       999915    13/08/2025    I        TIAGOP                             13/08/2025    
36342       631       13/08/2025    I        BEA.SC                             13/08/2025    
36119       917       13/08/2025    I        TIAGOP                             13/08/2025    
10339       917       13/08/2025    I        TIAGOP                             13/08/2025    
33141       631       13/08/2025    I        BEA.SC                             13/08/2025    
36121       917       13/08/2025    I        TIAGOP                             13/08/2025    
13915       917       13/08/2025    I        TIAGOP                             13/08/2025    
3135        631       13/08/2025    I        BEA.SC                             13/08/2025    
13928       917       13/08/2025    I        TIAGOP                             13/08/2025    
30214       917       13/08/2025    I        TIAGOP                             13/08/2025    
13925       917       13/08/2025    I        TIAGOP                             13/08/2025    
17654       917       13/08/2025    I        TIAGOP                             13/08/2025    
17654       917       13/08/2025    I        TIAGOP                             13/08/2025    
10222       917       13/08/2025    I        TIAGOP                             13/08/2025    
8634        917       13/08/2025    I        TIAGOP                             13/08/2025    
17651       917       13/08/2025    I        TIAGOP                             13/08/2025    
13929       917       13/08/2025    I        TIAGOP                             13/08/2025    
8625        917       13/08/2025    I        TIAGOP                             13/08/2025    
36191       999915    13/08/2025    I        TIAGOP                             13/08/2025    
36193       999915    13/08/2025    I        TIAGOP                             13/08/2025    
36189       999915    13/08/2025    I        TIAGOP                             13/08/2025    
36194       999915    13/08/2025    I        TIAGOP                             13/08/2025    
36188       999915    13/08/2025    I        TIAGOP                             13/08/2025    
36184       999915    13/08/2025    I        TIAGOP                             13/08/2025    
