NUPATRIMONIO,DTAQUISICAO
638,2011-12-11
639,2011-12-11
640,2011-12-11
641,2011-12-11
642,2011-12-11
643,2011-12-11
644,2011-12-11
648,2011-12-11
649,2011-12-11
650,2011-12-11
651,2011-12-11
652,2011-12-11
653,2011-12-11
654,2011-12-11
655,2011-12-11
656,2011-12-11
657,2011-12-11
658,2011-12-11
660,2011-12-11
661,2011-12-11
662,2011-12-11
663,2011-12-11
664,2011-12-11
665,2011-12-11
666,2011-12-11
667,2011-12-11
668,2011-12-11
669,2011-12-11
670,2011-12-11
671,2011-12-11
672,2011-12-11
673,2011-12-11
674,2011-12-11
676,2011-12-11
677,2011-12-11
678,2011-12-11
679,2011-12-11
680,2011-12-11
681,2011-12-11
682,2011-12-11
683,2011-12-11
684,2011-12-11
685,2011-12-11
686,2011-12-11
687,2011-12-11
688,2011-12-11
689,2011-12-11
690,2011-12-11
691,2011-12-11
692,2011-12-11
695,2011-12-11
696,2011-12-11
700,2011-12-11
701,2011-12-11
702,2011-12-11
703,2011-12-11
704,2011-12-11
705,2011-12-11
706,2011-12-11
707,2011-12-11
708,2011-12-11
709,2011-12-11
710,2011-12-11
711,2011-12-11
712,2011-12-11
713,2011-12-11
714,2011-12-11
715,2011-12-11
716,2011-12-11
717,2011-12-11
718,2011-12-11
719,2011-12-11
720,2011-12-11
721,2011-12-11
722,2011-12-11
723,2011-12-11
724,2011-12-11
725,2011-12-11
726,2011-12-11
746,2011-12-11
766,2025-07-15
777,2011-12-11
788,2011-12-11
795,2011-12-11
798,2011-12-11
803,2011-12-11
804,2011-12-11
807,2011-12-11
808,2011-12-11
809,2011-12-11
810,2011-12-11
811,2011-12-11
812,2011-12-11
813,2011-12-11
814,2011-12-11
815,2011-12-11
816,2011-12-11
817,2011-12-11
818,2011-12-11
819,2011-12-11
820,2011-12-11
821,2011-12-11
834,2011-12-11
837,2011-12-11
841,2011-12-11
842,2011-12-11
843,2011-12-11
844,2011-12-11
845,2011-12-11
846,2011-12-11
848,2011-12-11
849,2011-12-11
850,2011-12-11
851,2011-12-11
852,2011-12-11
853,2011-12-11
854,2011-12-11
855,2011-12-11
856,2011-12-11
857,2011-12-11
858,2011-12-11
859,2011-12-11
860,2011-12-11
861,2011-12-11
862,2011-12-11
863,2011-12-11
865,2011-12-11
866,2011-12-11
867,2011-12-11
868,2011-12-11
869,2011-12-11
870,2011-12-11
871,2011-12-11
872,2011-12-11
873,2011-12-11
874,2011-12-11
875,2011-12-11
876,2011-12-11
877,2011-12-11
878,2011-12-11
879,2011-12-11
880,2011-12-11
881,2011-12-11
882,2011-12-11
883,2011-12-11
884,2011-12-11
885,2011-12-11
886,2011-12-11
887,2011-12-11
888,2011-12-11
889,2011-12-11
890,2011-12-11
891,2011-12-11
892,2011-12-11
893,2011-12-11
894,2011-12-11
895,2011-12-11
899,2011-12-11
900,2011-12-11
903,2011-12-11
904,2011-12-11
905,2011-12-11
906,2011-12-11
907,2011-12-11
908,2011-12-11
909,2011-12-11
910,2011-12-11
914,2010-05-10
923,2012-03-26
931,2011-12-11
932,2011-12-11
933,2011-12-11
935,2011-12-11
936,2011-12-11
937,2011-12-11
938,2011-12-11
939,2011-12-11
940,2011-12-11
941,2011-12-11
942,2011-12-11
943,2011-12-11
944,2011-12-11
946,2011-12-11
947,2011-12-11
948,2011-12-11
949,2011-12-11
950,2011-12-11
951,2011-12-11
952,2011-12-11
953,2011-12-11
954,2011-12-11
955,2011-12-11
956,2011-12-11
957,2011-12-11
958,2011-12-11
959,2011-12-11
960,2011-12-11
961,2011-12-11
962,2011-12-11
963,2011-12-11
964,2011-12-11
965,2011-12-11
966,2011-12-11
967,2011-12-11
968,2011-12-11
970,2011-12-11
972,2011-12-11
973,2011-12-11
974,2011-12-11
975,2011-12-11
976,2011-12-11
977,2011-12-11
978,2011-12-11
979,2011-12-11
980,2011-12-11
981,2011-12-11
982,2011-12-11
983,2011-12-11
984,2011-12-11
985,2011-12-11
986,2011-12-11
987,2011-12-11
988,2011-12-11
989,2011-12-11
990,2011-12-11
991,2011-12-11
992,2011-12-11
993,2011-12-11
994,2011-12-11
995,2011-12-11
996,2011-12-11
997,2011-12-11
998,2011-12-11
999,2011-12-11
1000,2011-12-11
1002,2011-12-11
1033,2025-12-02
1035,2011-12-11
1129,2011-12-11
1151,2011-12-11
1180,2011-12-11
1207,2011-12-11
1210,2011-12-11
1211,2011-12-11
1225,2011-12-11
1263,2011-12-11
1301,2011-12-11
1309,2011-12-11
1323,2025-07-15
1339,2011-12-11
1387,2011-12-11
1391,2011-12-11
1404,2011-12-11
1418,2011-12-11
1465,2011-12-11
1467,2011-12-11
1470,2011-12-11
1475,2011-12-11
1480,2011-12-11
1497,2011-12-11
1505,2011-12-11
1508,2011-12-11
1513,2011-12-11
1520,2011-12-11
1528,2011-12-11
1537,2011-12-11
1548,2011-12-11
1560,2025-05-29
1568,2011-12-11
1570,2011-12-11
1572,2011-12-11
1573,2011-12-11
1577,2011-12-11
1581,2025-07-15
1584,2025-07-15
1594,2011-12-11
1651,2011-12-11
1654,2011-12-11
1658,2011-12-11
1673,2019-11-19
1685,2011-12-11
1686,2011-12-11
1688,2011-12-11
1706,2011-12-11
1724,2011-12-11
1758,2025-07-16
1764,2011-12-11
1768,2011-12-11
1769,2011-12-11
1787,2011-12-11
1829,2011-12-11
1836,2011-12-11
1839,2017-06-14
1845,2011-12-11
1851,2011-12-11
1863,2011-12-11
1873,2011-12-11
1882,2011-12-11
1912,2011-12-11
1931,2011-12-11
1941,2011-12-11
1945,2011-12-11
1948,2011-12-11
1955,2011-12-11
2000,2017-09-20
2001,2017-09-20
2002,2017-09-20
2003,2017-09-15
2004,2017-09-15
2005,2017-09-15
2006,2017-09-15
2007,2017-09-15
2008,2017-09-15
2009,2018-09-15
2181,2011-12-11
2283,2011-12-11
2370,2011-12-11
2384,2011-12-11
2387,2011-12-11
2389,2011-12-11
2390,2011-12-11
2437,2011-12-11
2438,2011-12-11
2461,2011-12-11
2464,2011-12-11
2465,2011-12-11
2468,2011-12-11
2470,2011-12-11
2497,2011-12-11
2515,2011-12-11
2522,2011-12-11
2547,2011-12-11
2619,2011-12-11
2651,2011-12-11
2683,2011-12-11
2723,2011-12-11
2733,2011-12-11
2735,2011-12-11
2776,2011-12-11
2777,2011-12-11
2815,2011-12-11
2829,2011-12-11
2879,2011-12-11
2962,2011-12-11
2979,2011-12-11
3055,2011-12-11
3064,2011-12-11
3067,2011-12-11
3088,2011-12-11
3110,2011-12-11
3126,2011-12-11
3127,2011-12-11
3135,2011-12-11
3145,2011-12-11
3146,2011-12-11
3166,2025-08-14
3229,2011-12-11
3235,2011-12-11
3277,2011-12-11
3281,2011-12-11
3305,2011-12-11
3314,2011-12-11
3315,2024-02-28
3316,2011-12-11
3319,2011-12-11
3323,2011-12-11
3355,2025-12-01
3366,2011-12-11
3382,2011-12-11
3390,2011-12-11
3404,2011-12-11
3453,2011-12-11
3456,2011-12-11
3489,2011-12-11
3498,2011-12-11
3499,2011-12-11
3504,2011-12-11
3514,2011-12-11
3640,2011-12-11
3655,2011-12-11
3663,2011-12-11
3670,2011-12-11
3675,2011-12-11
3889,2011-12-11
3901,2011-12-11
3908,2011-12-11
3950,2011-12-11
3972,2011-12-11
3979,2011-12-11
3998,2025-07-15
4021,2011-12-11
4023,2011-12-11
4025,2011-12-11
4026,2011-12-11
4029,2011-12-11
4041,2011-12-11
4046,2011-12-11
4068,2011-12-11
4083,2010-05-10
4093,2011-12-11
4098,2011-12-11
4101,2025-12-02
4102,2011-12-11
4116,2011-12-11
4117,2011-12-11
4201,2011-12-11
4202,2011-12-11
4203,2011-12-11
4204,2011-12-11
4208,2011-12-11
4209,2011-12-11
4220,2011-06-01
4222,2011-12-11
4256,2011-12-11
4292,2010-05-10
4295,2013-09-23
4299,2010-05-10
4301,2001-01-01
4302,2011-12-11
4303,2011-12-11
4305,2011-12-16
4306,2011-12-16
4307,2011-12-16
4308,2011-12-16
4309,2011-12-16
4310,2011-12-16
4311,2011-12-16
4312,2011-12-16
4313,2011-12-16
4314,2011-12-16
4315,2011-12-16
4316,2011-12-16
4317,2011-12-16
4318,2011-12-16
4319,2012-01-24
4320,2012-04-03
4365,2011-12-11
4367,2011-12-11
4368,2011-12-11
4369,2011-12-11
4370,2011-08-01
4401,2014-08-12
4428,2014-01-24
4429,2010-05-27
4431,2010-06-07
4436,2010-05-10
4438,2010-05-10
4439,2010-05-10
4440,2010-05-10
4442,2011-12-11
4443,2011-12-11
4444,2011-12-11
4445,2011-12-11
4446,2011-12-11
4447,2011-12-11
4448,2011-12-11
4449,2011-12-11
4450,2011-12-11
4459,2011-12-11
4463,2011-12-11
4464,2017-10-16
4465,2011-12-11
4466,2011-12-11
4467,2011-12-11
4469,2011-12-11
4471,2011-12-11
4473,2011-12-11
4477,2016-05-06
4479,2011-12-11
4480,2011-12-11
4481,2010-05-10
4484,2011-12-11
4487,2011-12-11
4488,2011-12-11
4489,2011-12-11
4490,2011-12-11
4491,2011-12-11
4492,2011-12-11
4493,2011-12-11
4494,2011-12-11
4495,2011-12-11
4496,2011-12-11
4497,2011-12-11
4504,2011-12-11
4505,2011-12-11
4508,2011-12-11
4509,2011-12-11
4550,2011-12-11
4612,2011-12-11
4613,2011-12-11
4615,2011-12-11
4616,2011-12-11
4617,2011-12-11
4618,2011-12-11
4619,2011-12-11
4620,2011-12-11
4731,2013-08-12
4737,2013-10-18
4738,2013-09-22
4739,2013-09-22
4740,2013-09-22
4742,2011-12-11
4760,2011-12-11
4761,2011-12-11
4762,2011-12-11
4763,2011-12-11
4764,2011-12-11
4769,2011-12-11
4777,2011-12-11
4779,2011-12-11
4781,2011-12-11
4782,2011-12-11
4783,2011-12-11
4784,2011-12-11
4785,2011-12-11
4786,2011-12-11
4788,2011-12-11
4789,2011-12-11
4790,2011-12-11
4863,2011-12-11
4873,2011-12-11
4876,2011-12-11
4879,2011-12-11
4880,2011-12-11
4919,2011-12-11
4941,2011-12-11
4943,2011-12-11
4947,2011-12-11
5001,2011-12-11
5002,2011-12-11
5003,2011-12-11
5004,2011-12-11
5005,2011-12-11
5006,2011-12-11
5007,2011-12-11
5008,2011-12-11
5009,2011-12-11
5010,2011-12-11
5011,2011-12-11
5012,2011-12-11
5013,2011-12-11
5014,2011-12-11
5015,2011-12-11
5016,2011-12-11
5017,2011-12-11
5018,2011-12-11
5019,2011-12-11
5020,2011-12-11
5021,2011-12-11
