CDFANTASIA    DEFANTASIA                                                       CDFILIAL    UFPROJ    
318           PF-RS2                                                           1           RS        
403           MC-SP                                                            1           SP        
194           PLANSUL-CAMPINAS                                                 1           SP        
197           PLANSUL - MG                                                     1           MG        
404           DRF-SOROCABA-SP                                                  1           SP        
405           DRF-SAOPAULO-SP                                                  1           SP        
406           IPRAJ                                                            1           SE        
409           CÂMARA - LIM                                                     1           DF        
410           CÂMARA - RÁDIO                                                   1           DF        
411           CÂMARA - TELE                                                    1           DF        
412           CÂMARA - TV                                                      1           DF        
408           BB-SP3                                                           1           SP        
407           PLANSUL - DF                                                     1           DF        
99991         CEF-CE-406                                                       1           CE        
413           BB-ES                                                            1           ES        
414           CÂMARA - OP                                                      1           DF        
415           ACAFE-SC                                                         1           SC        
416           CEF/TELE-DF                                                      1           DF        
417           DNPM-DF                                                          1           DF        
418           BB-PR-TEL                                                        1           PR        
419           BB-PR-LIMP                                                       1           PR        
319           SES-RS                                                           1           RS        
320           DETRAN-RS-3                                                      1           RS        
321           GHC-RS-1                                                         1           RS        
322           GHC-RS-2                                                         1           RS        
323           DNIT-RS-2                                                        1           RS        
324           UFRGS                                                            1           RS        
420           DRF-MARINGA-PR                                                   1           SC        
9550          PLANSUL - ES                                                     1           ES        
99992         PART. ROGERIO                                                    1           SC        
99993         xPART. RODRIGO - Usar RBG                                        1           SC        
99994         PART. SANDRA                                                     1           SC        
99995         x PART. RAFAEL - Usar RBG                                        1           SC        
99996         RCG                                                              1           SC        
422           MEC-DF                                                           1           DF        
421           TCE-CE                                                           1           CE        
423           SENADO FEDERAL-3                                                 1           DF        
424           TRT-SC                                                           1           SC        
425           DRF-ITAJAI-SC                                                    1           SC        
426           CÂMARA - GRAFICA                                                 1           DF        
427           TRT-CAMPINAS-SP                                                  1           SP        
428           CAMARA - OP2                                                     1           DF        
429           BB-SP-4                                                          1           SP        
430           CÂMARA - ELETRO                                                  1           DF        
77770         CÂMARA GRAF. 7900                                                1           DF        
77771         CEF-R1-131                                                       1           RJ        
77772         CEF-RJ2-132                                                      1           RJ        
77773         CAIXA-SC-122                                                     1           SC        
77774         CEF-TELE-MG-105                                                  1           MG        
431           CÂMARA - DESIGN                                                  1           DF        
432           SENADO FEDERAL-4                                                 1           DF        
433           CÂMARA - MANUTENÇÃO                                              1           DF        
434           ACAFE-2                                                          1           SC        
435           CONDOMINIO JOSE VEIGA                                            1           SC        
77775         SENADO FEDERAL-112                                               1           DF        
436           UFPR-1                                                           1           PR        
551           INMET                                                            1           DF        
437           UFPR-2                                                           1           PR        
438           TST-DF                                                           1           DF        
439           PMF-SC-2                                                         1           SC        
441           IF-SC - ARARANGUA                                                1           SC        
440           UFSC                                                             1           SC        
