NUSEQPATR	NUPATRIMONIO	DEPATRIMONIO	CDPROJETO	CDLOCAL	CODOBJETO	CDMATRFUNCIONARIO	SITUACAO	DTAQUISICAO	DTBAIXA	USUARIO	DTOPERACAO
6756	29363	ESCADA DE ALUMINIO 5 DEGRAUS	736	501	50	133838	EM USO	2024-12-16	NULL	RYAN	2025-01-24
6757	29364	BALDE DOBLO ESPREMEDOR 20FLEX	736	501	1040	133838	EM USO	2024-12-16	NULL	RYAN	2025-01-24
6758	29365	BALDE DOBLO ESPREMEDOR 20FLEX	736	501	1040	133838	EM USO	2024-12-16	NULL	RYAN	2025-01-24
6759	32234	MONITOR LED BRAZIL PC 20WR 75HZ 20 BIVOLT PRETO	868	1499	854	133838	EM USO	2024-12-13	NULL	RYAN	2024-12-26
6760	32235	MONITOR LED BRAZIL PC 20WR 75HZ 20 BIVOLT PRETO	868	1499	854	133838	EM USO	2024-12-13	NULL	RYAN	2024-12-26
6761	32236	MONITOR LED BRAZIL PC 20WR 75HZ 20 BIVOLT PRETO	868	1499	854	133838	EM USO	2024-12-13	NULL	RYAN	2024-12-26
6762	32237	MONITOR LED BRAZIL PC 20WR 75HZ 20 BIVOLT PRETO	868	1499	854	133838	EM USO	2024-12-13	NULL	RYAN	2024-12-26
6763	32238	NOTEBOOK LENOVO V15 I5-1235U 8GB 256GB W11 HOME 15.6 FHD	868	1499	1043	133838	EM USO	2024-12-13	NULL	RYAN	2025-01-08
6764	32239	NOTEBOOK LENOVO V15 I5-1235U 8GB 256GB W11 HOME 15.6 FHD	868	1499	1043	133838	EM USO	2024-12-13	NULL	RYAN	2025-01-08
6765	32240	NOTEBOOK LENOVO V15 I5-1235U 8GB 256GB W11 HOME 15.6 FHD	868	1499	1043	133838	EM USO	2024-12-13	NULL	RYAN	2025-01-08
6766	32241	NOTEBOOK LENOVO V15 I5-1235U 8GB 256GB W11 HOME 15.6 FHD	868	1499	1043	133838	EM USO	2024-12-13	NULL	RYAN	2025-01-08
6767	32505	ESCADA DE ALUMINIO 6 DEGRAUS	648	111	51	133838	EM USO	2024-12-11	NULL	RYAN	2025-01-15
6768	32506	ESCADA	648	111	239	133838	EM USO	2024-12-11	NULL	BEA.SC	2025-08-14
6769	31433	LAVADORA DE ALTA PRESSÃO KÄRCHER COMPACTA 1500PSI	379	1041	119	133838	EM USO	2024-12-11	NULL	RYAN	2024-12-27
6770	29023	ROÇADEIRA A GASOLINA VULCAN TRENT VR520H	610	135	1044	133838	EM USO	2024-12-11	NULL	BEA.SC	2025-08-21
6771	28721	ESCADA DE ALUMINIO 6 DEGRAUS	631	205	51	133838	EM USO	2024-12-05	NULL	BEA.SC	2025-09-15
6772	19536	BANDEJA REDONDA ARIENZO-SE 45CM ANTIDERRAPANTE BRINOX	494	1424	1045	133838	EM USO	2022-02-17	NULL	RYAN	2025-01-02
6773	19537	BANDEJA REDONDA ARIENZO-SE 45CM ANTIDERRAPANTE BRINOX	494	1424	1045	133838	EM USO	2022-06-17	NULL	RYAN	2025-01-02
6774	19538	BANDEJA REDONDA ARIENZO-SE 45CM ANTIDERRAPANTE BRINOX	494	1424	1045	133838	EM USO	2022-06-17	NULL	RYAN	2025-01-02
6775	19513	SERRA MARMORE MAKITA 4100NH3ZX2 1300W 1MM 110V	494	1424	1046	133838	EM USO	2022-03-28	NULL	RYAN	2025-01-02
6776	31550	ASPIRADOR DE PO E AGUA ACQUA POWER ELECTROLUX AQP20 18L 127V	855	1441	350	133838	EM USO	2024-12-30	NULL	RYAN	2025-01-27
6777	31546	ASPIRADOR DE PO E AGUA ACQUA POWER ELECTROLUX AQP20 18L 127V	855	1441	350	133838	EM USO	2024-12-30	NULL	RYAN	2025-01-27
6778	31549	ESCADA DE ALUMINIO 7 DEGRAUS	855	1441	52	133838	EM USO	2024-12-30	NULL	RYAN	2025-01-27
6779	29250	APARADOR DE GRAMA TRAPP MASTER 1000 PLUS	610	135	4	133838	EM USO	2025-01-13	NULL	RYAN	2025-01-13
6780	32190	CARRINHO DE MÃO 60L FISCHER VERMELHO	999915	1642	1039	185895	BAIXA	NULL	NULL	TIAGOP	2025-10-23
6781	32179	CAIXA DE FERRAMENTAS SANFONADA DE METAL	999915	1642	849	185895	BAIXA	NULL	NULL	TIAGOP	2025-10-21
6782	29131	MONITOR LED 20 PCTOP HDMI MLP200HDMI PRETO	197	1895	1048	133838	EM USO	2025-01-02	NULL	RYAN	2025-01-14
6783	32162	CAIXA DE FERRAMENTAS SANFONADA DE METAL	999915	1642	849	185895	BAIXA	NULL	NULL	TIAGOP	2025-10-20
6784	32182	CAIXA DE FERRAMENTAS SANFONADA DE METAL	999915	1642	849	185895	BAIXA	NULL	NULL	TIAGOP	2025-10-21
6785	32159	CAIXA DE FERRAMENTAS SANFONADA DE METAL	999915	1642	849	185895	BAIXA	NULL	NULL	TIAGOP	2025-10-21
6786	32131	CAIXA DE FERRAMENTAS SANFONADA DE METAL	999915	1642	849	185895	BAIXA	NULL	NULL	TIAGOP	2025-10-21
6787	32212	CAIXA DE FERRAMENTAS SANFONADA DE METAL	999915	1642	849	185895	BAIXA	NULL	NULL	TIAGOP	2025-10-21
6788	25932	SMARTPHONE SAMSUNG GALAXY A14 5G	197	1895	1047	133838	EM USO	NULL	NULL	RYAN	2025-01-15
6789	29112	SMARTPHONE SAMSUNG GALAXY A01	197	1895	1051	133838	EM USO	NULL	NULL	RYAN	2025-01-15
6790	29114	SMARTPHONE SAMSUNG GALAXY A13	197	1895	1052	133838	EM USO	NULL	NULL	RYAN	2025-01-15
