NUSEQPATR	NUPATRIMONIO	DEPATRIMONIO	CDPROJETO	CDLOCAL	CODOBJETO	CDMATRFUNCIONARIO	SITUACAO	DTAQUISICAO	DTBAIXA	USUARIO	DTOPERACAO
3834	14032	MESA DE ESCRITORIO INDIVIDUAL REGULAVEL	8	530	409	133838	EM USO	NULL	NULL	BEA.SC	2025-10-20
3835	14034	GAVETEIRO 3 GAVETAS COM CHAVE	8	530	252	133838	EM USO	NULL	NULL	BEA.SC	2025-10-20
3836	14035	ARMARIO DE MDF CINZA 4 GAVETAS	8	530	420	133838	EM USO	NULL	NULL	BEA.SC	2025-10-20
3837	14036	ARMARIO DE MDF CINZA 3 GAVETAS	8	4	419	133838	EM USO	NULL	NULL	BEA.SC	2025-10-20
3838	7613	MONITOR SAMSUNG	8	4	421	133838	EM USO	NULL	NULL	BEA.SC	2025-10-20
3840	14037	TELEFONE FIXO INTELBRAS TIP 120I	8	530	417	133838	EM USO	NULL	NULL	BEA.SC	2025-10-31
3841	14038	SUPORTE 2 GAVETAS PARA MONITOR	8	530	415	133838	EM USO	NULL	NULL	BEA.SC	2025-10-20
3842	14039	MESA DE ESCRITORIO INDIVIDUAL REGULAVEL	8	530	409	133838	EM USO	NULL	NULL	BEA.SC	2025-10-20
3843	16557	CADEIRA DE ESCRITORIO AZUL (GIRATORIA)	8	530	390	133838	EM USO	NULL	NULL	BEA.SC	2025-10-20
3844	14040	BALCÃO PRETO 2 GAVETAS	8	4	423	133838	EM USO	NULL	NULL	BEA.SC	2025-10-20
3845	17223	MONITOR DELL	8	530	402	133838	EM USO	NULL	NULL	BEA.SC	2025-10-20
3846	14041	CPU	8	4	151	133838	EM USO	NULL	NULL	BEA.SC	2025-10-20
3847	14042	SUPORTE DE VIDRO PARA MONITOR	8	530	414	133838	EM USO	NULL	NULL	BEA.SC	2025-10-20
3848	14044	ARMARIO DE MDF CINZA 3 GAVETAS	8	4	419	133838	EM USO	NULL	NULL	BEA.SC	2025-10-20
3849	14045	MESA DE ESCRITORIO INDIVIDUAL REGULAVEL	8	4	409	133838	EM USO	NULL	NULL	BEA.SC	2025-10-20
3851	14048	MESA DE ESCRITORIO INDIVIDUAL REGULAVEL	8	530	409	133838	EM USO	NULL	NULL	BEA.SC	2025-10-20
3852	16228	CADEIRA DE ESCRITORIO AZUL (GIRATORIA)	8	4	390	133838	EM USO	NULL	NULL	BEA.SC	2025-10-20
3853	14049	SMARTPHONE SAMSUNG A22	8	4	424	133838	EM USO	NULL	NULL	BEA.SC	2025-10-20
3854	14050	GAVETEIRO 3 GAVETAS COM CHAVE	8	4	252	133838	EM USO	NULL	NULL	BEA.SC	2025-10-20
3855	14052	SUPORTE 2 GAVETAS PARA MONITOR	8	530	415	133838	EM USO	NULL	NULL	BEA.SC	2025-10-20
3857	14053	TELEFONE FIXO INTELBRAS TIP 120I	8	530	417	133838	EM USO	NULL	NULL	BEA.SC	2025-10-20
3858	14054	ARMARIO DE MDF CINZA 3 GAVETAS	8	530	419	133838	EM USO	NULL	NULL	BEA.SC	2025-10-20
3860	14055	SUPORTE DE VIDRO PARA MONITOR	8	530	414	133838	EM USO	NULL	NULL	BEA.SC	2025-10-20
3861	14056	TELEFONE FIXO INTELBRAS TIP 120I	8	530	417	133838	EM USO	NULL	NULL	BEA.SC	2025-10-20
3862	14077	MESA DE ESCRITORIO INDIVIDUAL REGULAVEL	8	530	409	133838	EM USO	NULL	NULL	BEA.SC	2025-10-20
3863	14103	LIQUIDIFICADOR FAST SHAKE	8	530	426	133838	EM USO	NULL	NULL	BEA.SC	2025-06-13
3864	15544	MONITOR DELL	8	530	402	133838	EM USO	NULL	NULL	BEA.SC	2025-10-20
3865	14102	SANDUICHEIRA MAIS VOCE	8	530	427	133838	EM USO	NULL	NULL	BEA.SC	2025-10-21
3867	14101	SANDUICHEIRA PHILCO	8	530	428	133838	EM USO	NULL	NULL	BEA.SC	2025-06-13
3870	14100	AR CONDICIONADO LG DUAL INVERTER	8	530	431	133838	EM USO	NULL	NULL	BEA.SC	2025-10-21
3871	14060	ARMARIO BAIXO MADEIRA CINZA 3 PORTAS	8	4	432	133838	EM USO	NULL	NULL	BEA.SC	2025-10-20
3873	14073	MONITOR SAMSUNG	8	2034	421	133838	EM USO	NULL	NULL	BEA.SC	2025-10-16
3874	7714	CPU	8	2034	151	133838	EM USO	NULL	NULL	BEA.SC	2025-10-16
3875	16266	CADEIRA DE ESCRITORIO AZUL (GIRATORIA)	8	2034	390	133838	EM USO	NULL	NULL	BEA.SC	2025-10-17
