NUPATRIMONIO	SITUACAO	MARCA	CDLOCAL	MODELO	COR	DTAQUISICAO	DEHISTORICO	CDMATRFUNCIONARIO	CDPROJETO	USUARIO	DTOPERACAO	NUMOF	CODOBJETO	FLCONFERIDO
140	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
141	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
142	Á DISPOSIÇÃO		1			11/12/2011		133838	100001	RYAN	15/08/2024	44136	390	N
143	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
144	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
145	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
146	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
147	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
148	Á DISPOSIÇÃO		1			11/12/2011	DEFEITO - AMORTECEDOR TRAVADO	133838	100001	RYAN	15/08/2024	44136	390	N
149	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
150	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
151	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
152	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
153	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
154	Á DISPOSIÇÃO		1			11/12/2011		133838	100001	RYAN	15/08/2024	44136	390	N
155	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
156	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
157	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
158	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
159	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
160	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
161	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
162	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
163	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
164	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
165	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
166	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
167	Á DISPOSIÇÃO		1			11/12/2011		133838	100001	RYAN	15/08/2024	44136	341	N
168	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
169	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
170	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
171	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
172	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
173	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
174	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
175	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
176	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
177	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
178	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
179	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
180	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
181	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
182	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
183	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
184	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
185	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
186	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
187	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
188	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
189	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
190	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
191	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
192	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
193	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
194	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
195	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
196	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
197	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
198	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
199	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
200	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
201	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
202	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
203	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
204	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
205	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
206	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
207	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
208	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
