CDLOCAL	DELOCAL	CODIGO_PROJETO	FLATIVO
1377	AG. SANTO CRISTO	379	0
1378	AG. CONSTANTINA	379	0
1379	AG. CRISSIUMAL	379	0
1380	AG. SANANDUVA	379	0
1381	AG. TAPEJARA	379	0
1382	AG. FAXINAL DO SOTURNO	379	0
1383	AG. MARECHAL MALLET	379	0
1384	AG. ENCRUZILHADA DO SUL	379	0
1385	PAB TRT SANTO ANGELO	379	0
1386	PAB JF SANTO ANGELO	379	0
1387	AG. PLANALTO GAÚCHO	379	0
1388	AG. ALTO URUGUAI	379	0
1389	AG. 25 DE JULHO	379	0
1390	AG. COLMÉIA DO TRABALHO	379	0
1391	AG. BAIRRO BOQUEIRÃO	379	0
1392	AG. BAIRRO TRÊS VENDAS	379	0
1393	AG. PRAÇA INDEPENDÊNCIA	379	0
1394	PAB JF SANTA ROSA	379	0
1395	PAB JF PASSO FUNDO	379	0
1396	AG. BOCA DO MONTE	379	0
1397	AG. SÃO FRANCISCO DE ASSIS	379	0
1398	AG. CORAÇÃO DO RIO GRANDE	379	0
1399	PAB JT SANTA MARIA	379	0
1400	AG. TAPERA	379	0
1401	AG. MOROTIN	379	0
1402	AG. TENENTE PORTELA	379	0
1403	AG. SALTO DO JACUI	379	0
1404	PA AGRO URUGUAIANA	379	0
1405	PA AGRO PASSO FUNDO	379	0
1406	PA AGRO NÃO-ME-TOQUE	379	0
1407	AGRO CAMAQUA	379	0
1408	AGRO SANTIAGO	379	0
1409	AGRO SANTA ROSA	379	0
1410	AGRO BAGÉ	379	0
1411	AGRO IJUÍ	379	0
1413	LUIS FERNANDO	379	0
1414	AECIO PLACIDO	379	0
1415	SCHEILA	379	0
1416	CAUÃ MARCOS	379	0
1417	IVONILDO	379	0
1418	THAYNARA	379	0
1419	IGOR	379	0
1420	JULIANO	379	0
1421	ESCRITORIO - SUPERVISORES	379	0
1423	AG. BB MUQUICABA	692	0
1424	AG. VIANA	692	0
1425	AG. DOMINGOS MARTINS	692	0
1426	AG. ITAPEMIRIM	692	0
1427	AG. CACHOEIRO DE ITAPEMIRIM	692	0
1429	PROJETO	721	0
1430	PROJETO	665	0
1431	FILIAL	200	0
1432	FILIAL	736	0
1433	PROJETO	494	0
1434	FILIAL COLOMBO	750	0
1435	FILIAL	682	0
1436	UCC BH	648	0
1437	AG. VENDA NOVA IMIGRANTE	692	0
1438	AG. AFONSO CLAUDIO	692	0
1439	AG. SANTA LEOPOLDINA	692	0
1440	FLORIANOPOLIS	687	0
1441	GASPAR	687	0
1442	JOINVILLE	687	0
1443	ITAPECERICA	773	0
1444	PROJETO	816	0
1445	ARQUIVO RHSC	530	0
1446	PROJETO	860	0
1447	SENADO-10	695	0
1448	PROJETO	668	0
1449	PROJETO	626	0
1450	AG SÃO ROQUE DO CANAÃ	855	0
1451	AG JARDIM CAMBURI	855	0
1452	AG. ALEGRE	692	0
1453	AG 3680 - JOÃO NEIVA	855	0
1454	LAGES	705	0
1455	TUBARÃO	705	0
1456	AG. IBITIBA	692	0
1457	AG. CONCEIÇÃO DO CASTELO	692	0
1458	AG. MUQUICABA	692	0
1459	AG. SANTA MARIA DE JETIBÁ	692	0
1460	AG. PRAÇA PIO XII	692	0
1461	AG. NOVO IMIGRANTE	692	0
1462	AG. CASTELO (0785)	692	0
1463	AG. PRESIDENTE KENNEDY	692	0
1464	AG JARDIM DA PENHA	855	0
1465	AG ESTILO VITORIA 4726	855	0
1466	AG SANTA TERESA	855	0
1467	PROJETO	620	0
1468	PROJETO	674	0
1469	FILIAL	9550	0
1470	AG. VARGEM ALTA	692	0
1471	AG CARIACICA	855	0
1472	AG. SÃO MATEUS	692	0
1473	MANCHESTER	736	0
1474	UBERLANDIA	736	0
1475	POÇOS DE CALDAS	736	0
1476	OSCAR VIDAL	736	0
1477	MONTES CLAROS	736	0
1478	MUTUM	648	0
1479	MIRADOURO FÓRUM	773	0
1480	PROJETO	633	0
1481	VOLANTE	736	0
1482	DIVINOPOLIS	736	0
1483	VARGINHA	736	0
1484	UBERABA	736	0
1485	ARAXA	736	0
1486	MURIAE	736	0
1487	PROJETO	498	0
1488	TUBARÃO	687	0
1489	ITUIUTABA	736	0
1490	ITAÚNA	736	0
1491	GOVERNADOR VALADARES	736	0
1492	ITAJUBÁ	736	0
1493	SAO JOAO DEL REI	736	0
1494	PROJETO	671	0
1495	PASSOS	736	0
1496	POUSO ALEGRE	736	0
1497	MARIANO PROCOPIO	736	0
1498	PARÁ DE MINAS	736	0
1499	SÃO BENEDITO	736	0
1500	MIR SRA	358	0
1501	TRIANGULO MINEIRO	736	0
1502	COND CORPORATE BANKING	692	0
1503	AG ITARANA	855	0
1504	AG 2451 PINHEIROS	855	0
1505	RIO PARANAIBA	648	0
1506	SANTO AGOSTINHO ASSESSORIA DE COMUNICAÇÃO INTEGRADA	648	0
1507	GUARANÉSIA	648	0
1508	PROJETO	868	0
1509	HALFELD	736	0
1510	NOVA SERRANA	736	0
1511	PATOS DE MINAS	736	0
1512	MARTINS	736	0
1513	BARBACENA	736	0
1514	EQUIPE VOLANTE	379	0
1515	PROJETO	777	0
1516	PROJETO	742	0
1517	PROJETO	835	0
1518	SENADO-11	706	0
1519	SENADO-8	589	0
1520	SENADO-14	843	0
1521	SENADO-9	693	0
1522	SENADO-12	756	0
1523	SENADO-13	811	0
1524	SENADO-15	846	0
1525	SERGIO PACHECO	736	0
1526	TRES CORAÇÕES	736	0
1527	NANUQUE	736	0
1528	LAVRAS	736	0
1529	VIÇOSA	736	0
1530	EQUIPE VOLANTE	812	0
1531	PROJETO	852	0
1532	CENTRO	650	0
1533	NORTE	650	0
1534	DUQUE DE CAXIAS	650	0
1535	LEONEL	379	0
1536	PROJETO	739	0
1537	AG. SANTANA DO LIVRAMENTO	379	0
1538	EQUIPE VOLANTE	377	0
1539	BOA ESPERANÇA	736	0
1540	FORMIGA	736	0
1541	ALFENAS	736	0
1542	TEOFILO OTONI	736	0
1543	TRIANGULO	736	0
1544	FIDELIS REIS	736	0
1545	MANOEL HONORIO	736	0
1546	IPATINGA	736	0
1547	JUIZ DE FORA	736	0
1548	PATROCINIO	736	0
1549	PRINCESA	736	0
1550	CARMO DO PARANAIBA	736	0
1551	CAPITAL DO MILHO	736	0
1552	NEPOMUCENO	736	0
1553	SAO LOURENÇO	736	0
1554	OURO FINO	736	0
1555	CAMPINA VERDE	736	0
1556	SANTOS DUMONT	736	0
1557	CAMBUQUIRA	736	0
1558	BOM DESPACHO	736	0
1559	SACRAMENTO	736	0
1560	SAO GOTARDO	736	0
1561	BICAS	773	0
1562	ATENDIMENTO DE CHAMADOS	692	0
1563	AG LINHARES	855	0
1564	PROJETO	608	0
1565	LAGES	687	0
1566	AG. GLÓRIA	692	0
1567	PROJETO	680	0
1568	FILIAL	573	0
1569	PROJETO	681	0
1570	NGI PALMAS (ESEC MATA PRETA, REVIS CAMPOS DE PALMAS E PARNA ARAUCÁRIAS)	813	0
1571	IBIA	736	0
1572	ARAGUARI	736	0
1573	CANDIDES	736	0
1574	UBA	736	0
1575	INSTITUTO MEDICO LEGAL	624	0
1576	ANDRADAS	736	0
1577	CONCEIÇAO DO RIO VERDE	736	0
1578	FUNARTE SP	608	0
1579	CAMPO BELO DO SUL	687	0
1580	ANITA GARIBALDI	687	0
1581	CRICIÚMA	687	0
1582	LAGUNA	687	0
1583	OTACILIO COSTA	687	0
1584	BOM RETIRO	687	0
1585	URUBICI	687	0
1586	SAO JOAQUIM	687	0
1587	IÇARA	687	0
1588	URUSSANGA	687	0
1589	LAURO MULLER	687	0
1590	IMARUI	687	0
1591	ARARANGUA	687	0
1592	TURVO	687	0
1593	FORQUILHINHA	687	0
1594	CARATINGA	736	0
1595	CONCEICAO DO ALAGOAS	736	0
1596	MANHUAÇU	736	0
1597	CONCEICAO DO MATO DENTRO	736	0
1598	ABAETE	736	0
1599	MARTINHO CAMPOS	736	0
1600	CAMPOS GERAIS	736	0
1601	ALPINOPOLIS	736	0
1602	BOM SUCESSO	736	0
1603	SAO SEBASTIAO DO PARAISO	736	0
1604	MELO VIANA	736	0
1605	CIRCUITO DAS AGUAS	736	0
1606	CAMPOS ALTOS	736	0
1607	CAPINOPOLIS	736	0
1608	NORDESTE DE MINAS	736	0
1609	ESCOLA SUPERIOR DE POLICIA CIVIL	644	0
1611	CGPM	651	0
1612	INSTITUTO DE IDENTIFICAÇÃO DO PARANA	653	0
1613	COGER	657	0
1614	COPOM	659	0
1615	AG SÃO GABRIEL DA PALHA	855	0
1616	AG COLATINA	855	0
1617	BRAÇO DO NORTE	687	0
1618	ARMAZEM TJ	687	0
1619	JAGUARUNA	687	0
1620	CAPIVARI DE BAIXO	687	0
1621	IMBITUBA	687	0
1622	MELEIRO	687	0
1623	SANTA ROSA DO SUL	687	0
1624	SOMBRIO	687	0
1625	PERDÕES	736	0
1626	CURITIBANOS	687	0
1627	SANTA CECILIA	687	0
1628	CORREIA PINTO	687	0
1629	PARACATU	736	0
1630	BOCAIUVA	736	0
1631	MONTE SANTO DE MINAS	736	0
1632	SERRO	736	0
1633	CAPELINHA	736	0
1634	AG SERRA	855	0
1635	PAPAGAIOS	736	0
1636	CAMPANHA	736	0
1637	CARMOPOLIS DE MINAS	736	0
1638	IBIRITE	736	0
1639	AG PRAIA DO CANTO	855	0
1640	EQUIPE MOVEL SERRA	379	0
1641	NEVES TJ	610	0
1642	ALMOXARIFADO CENTRAL	999915	0
1643	PROJETO	630	0
1644	VOLANTE	882	0
1645	PROJETO	877	0
1646	BAEPENDI	736	0
1647	CAMPO BELO	736	0
1648	PASSA QUATRO	736	0
1649	VIRGINIA	736	0
1650	LEOPOLDINA	736	0
1651	MONTE ALEGRE DE MINAS	736	0
1652	GUAXUPE	736	0
1653	TIMOTEO	736	0
1654	MINAS TENIS	736	0
1655	PARAISOPOLIS	736	0
1656	MEDINA	736	0
1657	AVENIDA GUILHERME FERREIRA	736	0
1658	SUL DAS GERAES	736	0
1659	SHOPPING MONTES CLAROS	736	0
1660	PONTAL DO CERRADO	736	0
1661	TAIOBEIRAS	736	0
1662	TOCANTINENSE	736	0
1663	GUARANESIA	736	0
1664	ITATIAUÇU	736	0
1665	BAIRRO FOCH	736	0
1666	SRTE FLORIANOPOLIS	882	0
1667	ARTE BLUMENAU	882	0
1668	GRTE JOINVILLE	882	0
1669	GRTE LAGES	882	0
1670	GRTE ITAJAI	882	0
1671	GRTE CRICIUMA	882	0
1672	GRTE CHAPECO	882	0
1673	AG. CHAPECO	878	0
1674	AG. CONCORDIA	878	0
1675	AG. JOACABA	878	0
1676	AG. XANXERE	878	0
1677	AG. DIONISIO CERQUEIRA	878	0
1678	AG. MONDAI	878	0
1679	PROJETO	884	0
1680	PFN/SC	882	0
1681	SPU/SC	882	0
1682	SRA/SC	882	0
1683	CGU-R/SC	882	0
1684	PSFN CHAPECÓ	882	0
1685	PSFN CRICIÚMA	882	0
1686	PSFN JOAÇABA	882	0
1687	SANF/SC	882	0
1688	AG. CUNHA PORÃ	878	0
1689	AG. SÃO CARLOS	878	0
1690	AG SAO MATEUS	855	0
1691	PROJETO	890	0
1692	UNIFORMES TJ GO	835	0
1693	CAMANDUCAIA	648	0
1694	AG. CAPINZAL	878	0
1695	PROJETO	891	0
1696	DEPÓSITO JARDIM ATLÂNTICO - FLORIANÓPOLIS	8	0
1697	PROJETO	836	0
1698	PROJETO	869	0
1699	AG. HERVAL D OESTE	878	0
1700	VIRGILIO GALASSI	736	0
1701	EMPRESARIAL SUDOESTE DE MINAS	736	0
1825	PROJETO	870	0
1826	PROJETO	856	0
1827	PROJETO	898	0
1829	AGUAS FORMOSAS FORUM	889	0
1830	CORINTO FORUM/CEJUSC	889	0
1831	CURVELO FORUM/JESP	889	0
1832	FRANCISCO SA FORUM	889	0
1833	GRAO MOGOL FORUM	889	0
1834	SAO FRANCISCO FORUM	889	0
1835	SAO ROMAO FORUM	889	0
1836	VIRGINOPOLIS FORUM/CEJUSC	889	0
1837	ARACUAI FORUM	889	0
1838	ARACUAI FORUM/CEJUSC DIGITAL (PADRE PARAISO)	889	0
1839	BRASILIA DE MINAS FORUM	889	0
1840	BUENOPOLIS FORUM	889	0
1841	CAPELINHA FORUM	889	0
1842	CONCEICAO DO MATO DENTRO FORUM	889	0
1843	CONSELHEIRO PENA FORUM	889	0
1844	DIAMANTINA FORUM	889	0
1845	ESPINOSA FORUM	889	0
1846	GALILEIA FORUM	889	0
1847	ITAMBACURI FORUM	889	0
1848	JACINTO FORUM	889	0
1849	JANUARIA FORUM	889	0
1850	MALACACHETA FORUM	889	0
1851	MANGA FORUM	889	0
1852	MANTENA FORUM	889	0
1853	MINAS NOVAS FORUM	889	0
1854	MONTALVANIA FORUM	889	0
1855	MONTE AZUL FORUM	889	0
1856	MONTES CLAROS FORUM/CEJUSC	889	0
1857	MONTES CLAROS JESP/POLO GERSAT	889	0
1858	SABINOPOLIS FORUM	889	0
1859	SALINAS FORUM	889	0
1860	SALINAS JESP/CEJUSC	889	0
1861	SAO JOAO DO PARAISO FORUM	889	0
1862	SERRO FORUM	899	0
1863	TAIOBEIRAS FORUM/CEJUSC	889	0
1864	TEOFILO OTONI FORUM	889	0
1865	JANAUBA FORUM/JESP/ARQUIVO	889	0
1866	SAO JOAO DA PONTE FORUM	889	0
1867	AIMORES FORUM	889	0
1868	ALMENARA JESP/ARQUIVO	889	0
1869	ALMENARA FORUM	889	0
1870	BOCAIUVA FORUM	889	0
1871	CARLOS CHAGAS FORUM	889	0
1872	CORACAO DE JESUS FORUM/CEJUSC/GERSAT	889	0
1873	GOVERNADOR VALADARES JESP	889	0
1874	GOVERNADOR VALADARES ARQUIVO	889	0
1875	GOVERNADOR VALADARES FORUM	889	0
1876	GUANHAES FORUM	889	0
1877	ITAMARANDIBA FORUM	889	0
1878	JAIBA FORUM	889	0
1879	JEQUITINHONHA FORUM	889	0
1880	MEDINA FORUM	889	0
1881	NANUQUE FORUM	889	0
1882	NOVO CRUZEIRO FORUM/JESP/DEPOSITO	889	0
1883	PECANHA FORUM	889	0
1884	PEDRA AZUL FORUM	889	0
1885	PIRAPORA FORUM	889	0
1886	PORTEIRINHA FORUM	889	0
1887	RESPLENDOR FORUM	889	0
1888	RIO PARDO DE MINAS FORUM	889	0
1889	RIO VERMELHO FORUM	889	0
1890	SANTA MARIA DO SUACUI FORUM	889	0
1891	SAO JOAO EVANGELISTA FORUM	889	0
1892	SAO JOAO EVANGELISTA FORUM/CEJUSC DIGITAL (COLUNA)	889	0
1893	TURMALINA FORUM	889	0
1894	VARZEA DA PALMA FORUM	889	0
1895	ARAXA FORUM/JESP	888	0
1896	ARCOS FORUM	888	0
1897	BONFINOPOLIS DE MINAS FORUM	888	0
1898	BURITIS FORUM	888	0
1899	CONCEICAO DAS ALAGOAS FORUM	888	0
1900	DORES DO INDAIA FORUM	888	0
1901	ESTRELA DO SUL FORUM	888	0
1902	FORMIGA FORUM	888	0
1903	FRUTAL FORUM	888	0
1904	FRUTAL FORUM/CEJUSC DIGITAL (FRONTEIRAS)	888	0
1905	IGUATAMA FORUM	888	0
1906	PARACATU FORUM	888	0
1907	PATOS DE MINAS FORUM	888	0
1908	PATROCINIO FORUM	888	0
1909	PITANGUI FORUM	888	0
1910	PITANGUI FORUM/CEJUSC DIGITAL (PAPAGAIOS)	888	0
1911	POMPEU FORUM	888	0
1912	PRESIDENTE OLEGARIO FORUM	888	0
1913	PRESIDENTE OLEGARIO FORUM/CEJUSC DIGITAL (LAGOA GRANDE)	888	0
1914	SAO GOTARDO FORUM/JESP/CEJUSC	888	0
1915	TUPACIGUARA FORUM	888	0
1916	ABAETE FORUM	888	0
1917	ARAGUARI FORUM	888	0
1918	ARINOS FORUM	888	0
1919	BAMBUI FORUM/CEJUSC	888	0
1920	BOM DESPACHO FORUM	888	0
1921	CAMPINA VERDE FORUM	888	0
1922	CAMPOS ALTOS FORUM	888	0
1923	CARMO DO PARANAIBA FORUM	888	0
1924	ITURAMA FORUM/CEJUSC	888	0
1925	JOAO PINHEIRO FORUM	888	0
1926	LAGOA DA PRATA FORUM/JESP	888	0
1927	LUZ FORUM	888	0
1928	MONTE CARMELO FORUM	888	0
1929	MORADA NOVA DE MINAS FORUM	888	0
1930	PERDIZES FORUM	888	0
1931	PRATA FORUM	888	0
1932	RIO PARANAIBA FORUM	888	0
1933	SACRAMENTO FORUM	888	0
1934	SAO ROQUE DE MINAS FORUM	888	0
1935	TIROS FORUM	888	0
1936	TRES MARIAS FORUM	888	0
1937	UBERABA FORUM	888	0
1938	UBERLANDIA FORUM	888	0
1939	VAZANTE FORUM	888	0
1940	CAPINOPOLIS FORUM	888	0
1941	ITUIUTABA FORUM/JESP/CEJUSC	888	0
1942	NOVA PONTE FORUM	888	0
1943	SANTA VITORIA FORUM	888	0
1944	UNAI FORUM	888	0
1945	CANAPOLIS FORUM	888	0
1946	CONQUISTA FORUM	888	0
1947	COROMANDEL FORUM/CEJUSC	888	0
1948	IBIA FORUM	888	0
1949	ITAPAGIPE FORUM	888	0
1950	MARTINHO CAMPOS FORUM	888	0
1951	MONTE ALEGRE DE MINAS FORUM	888	0
1952	SERRO FORUM	889	0
1953	ESCR.MPE CHAPECO	878	0
1954	AG. MORRO DA FUMAÇA	878	0
1955	SAO MIGUEL DO OESTE	797	0
1956	AG. ITAPIRANGA	878	0
1957	AG. CAMPO ERE	878	0
1958	AG. IPUMIRIM	878	0
1959	JOAO PINHEIRO	736	0
1960	ITURAMA	736	0
1961	PROJETO	905	0
1962	PROJETO	841	0
1963	AG. CAMPOS NOVOS	878	0
1964	EMPR.OESTE CATARIN	878	0
1965	COPA 1	8	0
1966	UNIFORMES SC	8	0
1967	CONTROLADORIA	8	0
1968	DEPARTAMENTO PESSOAL	8	0
1969	STI	8	0
1970	BARRO PRETO - BH	648	0
1971	AG. PALMA SOLA	878	0
1972	AG. CAXAMBU DO SUL	878	0
1973	AG. CARLOS GOMES	379	0
1974	PIRANGA	648	0
1975	JURIDICO	8	0
1976	EQUIPE VOLANTE	917	0
1977	AG BLUMENAU	917	0
1978	AG FLORIANOPOLIS	917	0
1979	AG ARARANGUA	917	0
1980	AG BALNEARIO CAMBORIU	917	0
1981	AG CAÇADOR	917	0
1982	AG CHAPECO	917	0
1983	AG CRICIUMA	917	0
1984	AG JOINVILLE	917	0
1985	AG LAGES	917	0
1986	AG TUBARAO	917	0
1987	AG ITAPEMA	917	0
1988	AG CONCORDIA	917	0
1989	SUREG OUTROS ESTADOS (FLORIANOPOLIS)	917	0
1990	AG GAROPABA	917	0
1991	AG JOAÇABA	917	0
1992	AG KOBRASOL	917	0
1993	AG PALHOÇA	917	0
1994	AG VIDEIRA	917	0
1995	CONQUISTA	736	0
1996	MORRO DA FUMAÇA	878	0
1997	IPUMIRIM	878	0
1998	NOVA PRATA	379	0
1999	JUATUBA	736	0
2000	ICMBIO CHAPECO	813	0
2001	IPORA DO OESTE	878	0
2002	EM TRÂNSITO	999915	0
2003	PARA DE MINAS - FORUM	610	0
2004	SECRETARIA DAS PROMOTORIAS	648	0
2005	PITANGUI	736	0
2006	ITAUNA	736	0
2007	MATIPO	736	0
2008	RIO CASCA	736	0
2009	TRES PONTAS	736	0
2010	GUANHAES	736	0
2011	IBIÁ	736	0
2012	AG SINGULAR	200	0
2013	UFMT SINOP	920	0
2014	BONFIM	648	0
2015	CALL CENTER	104	0
2016	DEPÓSITO FILIAL	199	0
2017	MINAS NOVAS	889	0
2018	ESTOQUE FILIAL RJ	195	0
2019	ESPINOSA	736	0
2020	FINANCEIRO	8	0
2021	PEÇANHA	648	0
2022	COROMANDEL	736	0
2023	ITAPAGIPE	736	0
2024	INHAPIM	736	0
2025	RIO PARANAIBA	736	0
2026	MONTE CARMELO	736	0
2027	POMPEU	736	0
2028	PROJETO	809	0
2029	NOVO ESCRITÓRIO	197	0
2030	COPA 2	8	0
2031	COMPRAS	8	0
2032	SALA BOSCO	8	0
2033	SALA DE REUNIÃO	8	0
2034	SALA DILSON	8	0
2035	ARQUIVO	8	0
2036	DORES DO INDAIA	736	0
2037	PONTO TJ RAJA GABALIA	633	0
2038	ALMOXARIFADO ANDRE	8	0
2039	SALA ZELADOR	8	0
2040	BOM SUCESSO	648	0
2041	RECEPÇÃO	8	0
2042	CONTABILIDADE	8	0
2043	PRADOS	648	0
2044	FUNARTE RJ	608	0
2045	TUPARENDI	377	0
2046	FILIAL	934	0
2047	ARCOS	736	0
2048	PROJETO	684	0
2049	FATURAMENTO	8	0
2050	CONTA VINCULADA	8	0
2051	JURÍDICO	8	0
2052	GESTÃO FORMAL	8	0
2053	COMERCIAL	8	0
2054	CRUZ ALTA	379	0
2055	HORIZONTINA	379	0
2056	ARQUIVO	999914	0
2057	ALMOXARIFADO OSNIR	<null>	0
2058	CASA 190	<null>	0
2059	SALA COMERCIAL	<null>	0
4631	FLORIANÓPOLIS RUA NUNES MACHADO,192 SAMF CENTRO	<null>	0
4632	FLORIANÓPOLIS RUA ARCIPRESTE PAIVA, 107 PFN CENTRO	<null>	0
4633	FLORIANÓPOLIS RUA CONSELHEIRO MAFRA,  CGU CENTRO	<null>	0
4634	FLORIANÓPOLIS RUA DOS ILHÉUS, 336 SPU CENTRO	<null>	0
5011	PR FPOLIS	<null>	0
6131	FLORIANOPOLIS RUA VICTOR MEIRELLES, 198 CENTRO	<null>	0
6321	FLORIANOPOLIS SC 401 SACO GRANDE	<null>	0
6322	FLORIANÓPOLIS RUA DELFINO LONTI, 306 UFSC TRINDADE	<null>	0
6323	FLORIANÓPOLIS RUA BOCAIUVA, 2125 CENTRO	<null>	0
6324	SÃO JOSE SC AV. JOÃO LEDIO MARTINS, 180 KOBRASOL	<null>	0
