NUPATR	CODPROJ	DTMOVI	TIPO	USUARIO	DTOPERACAO
36516	610	2025-08-28 00:00:00	INCLUSAO	BEA.SC	2025-08-28 00:00:00
36517	610	2025-08-12 00:00:00	INCLUSAO	BEA.SC	2025-08-12 00:00:00
36517	610	2025-08-28 00:00:00	INCLUSAO	BEA.SC	2025-08-28 00:00:00
36517	610	2025-08-28 00:00:00	INCLUSAO	BEA.SC	2025-08-28 00:00:00
36519	736	2025-08-28 00:00:00	INCLUSAO	BEA.SC	2025-08-28 00:00:00
36520	736	2025-08-28 00:00:00	INCLUSAO	BEA.SC	2025-08-28 00:00:00
36524	610	2025-09-15 00:00:00	INCLUSAO	BEA.SC	2025-09-15 00:00:00
36524	610	2025-09-15 00:00:00	INCLUSAO	BEA.SC	2025-09-15 00:00:00
36525	610	2025-09-15 00:00:00	INCLUSAO	BEA.SC	2025-09-15 00:00:00
36527	610	2025-09-15 00:00:00	INCLUSAO	BEA.SC	2025-09-15 00:00:00
36528	610	2025-09-15 00:00:00	INCLUSAO	BEA.SC	2025-09-15 00:00:00
36535	610	2025-09-15 00:00:00	INCLUSAO	BEA.SC	2025-09-15 00:00:00
36539	610	2025-09-15 00:00:00	INCLUSAO	BEA.SC	2025-09-15 00:00:00
36551	648	2025-09-10 00:00:00	INCLUSAO	BEA.SC	2025-09-10 00:00:00
36552	648	2025-09-10 00:00:00	INCLUSAO	BEA.SC	2025-09-10 00:00:00
36553	648	2025-09-10 00:00:00	INCLUSAO	BEA.SC	2025-09-10 00:00:00
36556	648	2025-09-10 00:00:00	INCLUSAO	BEA.SC	2025-09-10 00:00:00
36559	736	2025-08-27 00:00:00	INCLUSAO	BEA.SC	2025-08-27 00:00:00
36560	736	2025-08-27 00:00:00	INCLUSAO	BEA.SC	2025-08-27 00:00:00
36567	648	2025-09-10 00:00:00	INCLUSAO	BEA.SC	2025-09-10 00:00:00
36568	610	2025-08-12 00:00:00	INCLUSAO	BEA.SC	2025-08-12 00:00:00
36568	610	2025-08-28 00:00:00	INCLUSAO	BEA.SC	2025-08-28 00:00:00
36569	610	2025-08-12 00:00:00	INCLUSAO	BEA.SC	2025-08-12 00:00:00
36569	610	2025-08-12 00:00:00	INCLUSAO	BEA.SC	2025-08-12 00:00:00
36569	610	2025-08-28 00:00:00	INCLUSAO	BEA.SC	2025-08-28 00:00:00
36570	610	2025-08-28 00:00:00	INCLUSAO	BEA.SC	2025-08-28 00:00:00
36571	610	2025-08-12 00:00:00	INCLUSAO	BEA.SC	2025-08-12 00:00:00
36571	610	2025-08-28 00:00:00	INCLUSAO	BEA.SC	2025-08-28 00:00:00
36572	610	2025-08-12 00:00:00	INCLUSAO	BEA.SC	2025-08-12 00:00:00
36572	610	2025-08-28 00:00:00	INCLUSAO	BEA.SC	2025-08-28 00:00:00
36573	610	2025-08-12 00:00:00	INCLUSAO	BEA.SC	2025-08-12 00:00:00
36573	610	2025-08-28 00:00:00	INCLUSAO	BEA.SC	2025-08-28 00:00:00
36574	610	2025-08-12 00:00:00	INCLUSAO	BEA.SC	2025-08-12 00:00:00
36574	610	2025-09-15 00:00:00	INCLUSAO	BEA.SC	2025-09-15 00:00:00
36575	610	2025-08-12 00:00:00	INCLUSAO	BEA.SC	2025-08-12 00:00:00
36575	610	2025-08-12 00:00:00	INCLUSAO	BEA.SC	2025-08-12 00:00:00
36575	610	2025-08-12 00:00:00	INCLUSAO	BEA.SC	2025-08-12 00:00:00
36575	610	2025-08-28 00:00:00	INCLUSAO	BEA.SC	2025-08-28 00:00:00
36576	610	2025-08-12 00:00:00	INCLUSAO	BEA.SC	2025-08-12 00:00:00
36576	610	2025-08-28 00:00:00	INCLUSAO	BEA.SC	2025-08-28 00:00:00
36577	648	2025-09-10 00:00:00	INCLUSAO	BEA.SC	2025-09-10 00:00:00
36578	648	2025-09-10 00:00:00	INCLUSAO	BEA.SC	2025-09-10 00:00:00
36579	648	2025-09-10 00:00:00	INCLUSAO	BEA.SC	2025-09-10 00:00:00
36580	648	2025-09-10 00:00:00	INCLUSAO	BEA.SC	2025-09-10 00:00:00
36582	631	2025-09-10 00:00:00	INCLUSAO	BEA.SC	2025-09-10 00:00:00
36582	631	2025-09-17 00:00:00	INCLUSAO	BEA.SC	2025-09-17 00:00:00
36583	631	2025-09-10 00:00:00	INCLUSAO	BEA.SC	2025-09-10 00:00:00
36583	631	2025-09-17 00:00:00	INCLUSAO	BEA.SC	2025-09-17 00:00:00
36584	631	2025-09-08 00:00:00	INCLUSAO	BEA.SC	2025-09-08 00:00:00
36589	631	2025-09-08 00:00:00	INCLUSAO	BEA.SC	2025-09-08 00:00:00
36590	631	2025-09-10 00:00:00	INCLUSAO	BEA.SC	2025-09-10 00:00:00
36592	631	2025-09-10 00:00:00	INCLUSAO	BEA.SC	2025-09-10 00:00:00
36593	631	2025-09-10 00:00:00	INCLUSAO	BEA.SC	2025-09-10 00:00:00
36594	631	2025-09-10 00:00:00	INCLUSAO	BEA.SC	2025-09-10 00:00:00
36596	736	2025-08-28 00:00:00	INCLUSAO	BEA.SC	2025-08-28 00:00:00
36599	631	2025-09-08 00:00:00	INCLUSAO	BEA.SC	2025-09-08 00:00:00
36601	888	2025-09-11 00:00:00	INCLUSAO	BEA.SC	2025-09-11 00:00:00
36602	888	2025-09-11 00:00:00	INCLUSAO	BEA.SC	2025-09-11 00:00:00
36603	888	2025-08-14 00:00:00	INCLUSAO	BEA.SC	2025-08-14 00:00:00
36603	888	2025-09-11 00:00:00	INCLUSAO	BEA.SC	2025-09-11 00:00:00
36604	888	2025-09-11 00:00:00	INCLUSAO	BEA.SC	2025-09-11 00:00:00
36605	888	2025-09-11 00:00:00	INCLUSAO	BEA.SC	2025-09-11 00:00:00
36607	888	2025-09-11 00:00:00	INCLUSAO	BEA.SC	2025-09-11 00:00:00
36607	888	2025-09-11 00:00:00	INCLUSAO	BEA.SC	2025-09-11 00:00:00
36607	888	2025-09-17 00:00:00	INCLUSAO	BEA.SC	2025-09-17 00:00:00
36608	888	2025-09-11 00:00:00	INCLUSAO	BEA.SC	2025-09-11 00:00:00
36608	888	2025-09-11 00:00:00	INCLUSAO	BEA.SC	2025-09-11 00:00:00
36609	888	2025-09-11 00:00:00	INCLUSAO	BEA.SC	2025-09-11 00:00:00
36609	888	2025-09-11 00:00:00	INCLUSAO	BEA.SC	2025-09-11 00:00:00
36610	888	2025-09-11 00:00:00	INCLUSAO	BEA.SC	2025-09-11 00:00:00
36611	610	2025-08-28 00:00:00	INCLUSAO	BEA.SC	2025-08-28 00:00:00
36612	610	2025-08-28 00:00:00	INCLUSAO	BEA.SC	2025-08-28 00:00:00
36614	610	2025-08-28 00:00:00	INCLUSAO	BEA.SC	2025-08-28 00:00:00
36615	610	2025-08-28 00:00:00	INCLUSAO	BEA.SC	2025-08-28 00:00:00
36616	610	2025-08-28 00:00:00	INCLUSAO	BEA.SC	2025-08-28 00:00:00
36617	610	2025-08-28 00:00:00	INCLUSAO	BEA.SC	2025-08-28 00:00:00
36618	610	2025-08-28 00:00:00	INCLUSAO	BEA.SC	2025-08-28 00:00:00
36619	888	2025-09-11 00:00:00	INCLUSAO	BEA.SC	2025-09-11 00:00:00
36620	888	2025-09-11 00:00:00	INCLUSAO	BEA.SC	2025-09-11 00:00:00
36624	736	2025-08-27 00:00:00	INCLUSAO	BEA.SC	2025-08-27 00:00:00
36631	888	2025-08-22 00:00:00	INCLUSAO	BEA.SC	2025-08-22 00:00:00
36632	888	2025-09-11 00:00:00	INCLUSAO	BEA.SC	2025-09-11 00:00:00
36641	736	2025-08-27 00:00:00	INCLUSAO	BEA.SC	2025-08-27 00:00:00
36642	736	2025-08-27 00:00:00	INCLUSAO	BEA.SC	2025-08-27 00:00:00
36643	610	2025-08-28 00:00:00	INCLUSAO	BEA.SC	2025-08-28 00:00:00
36643	610	2025-09-15 00:00:00	INCLUSAO	BEA.SC	2025-09-15 00:00:00
36644	610	2025-08-28 00:00:00	INCLUSAO	BEA.SC	2025-08-28 00:00:00
36645	610	2025-08-28 00:00:00	INCLUSAO	BEA.SC	2025-08-28 00:00:00
36645	610	2025-09-17 00:00:00	INCLUSAO	BEA.SC	2025-09-17 00:00:00
36646	610	2025-08-28 00:00:00	INCLUSAO	BEA.SC	2025-08-28 00:00:00
36647	610	2025-08-28 00:00:00	INCLUSAO	BEA.SC	2025-08-28 00:00:00
36648	610	2025-08-28 00:00:00	INCLUSAO	BEA.SC	2025-08-28 00:00:00
36648	610	2025-09-15 00:00:00	INCLUSAO	BEA.SC	2025-09-15 00:00:00
36649	736	2025-08-27 00:00:00	INCLUSAO	BEA.SC	2025-08-27 00:00:00
36650	610	2025-08-28 00:00:00	INCLUSAO	BEA.SC	2025-08-28 00:00:00
36651	610	2025-08-28 00:00:00	INCLUSAO	BEA.SC	2025-08-28 00:00:00
36651	610	2025-09-17 00:00:00	INCLUSAO	BEA.SC	2025-09-17 00:00:00
36652	610	2025-08-28 00:00:00	INCLUSAO	BEA.SC	2025-08-28 00:00:00
36653	736	2025-08-27 00:00:00	INCLUSAO	BEA.SC	2025-08-27 00:00:00
36654	736	2025-08-27 00:00:00	INCLUSAO	BEA.SC	2025-08-27 00:00:00
36655	610	2025-08-28 00:00:00	INCLUSAO	BEA.SC	2025-08-28 00:00:00
36655	610	2025-09-15 00:00:00	INCLUSAO	BEA.SC	2025-09-15 00:00:00
36656	610	2025-08-28 00:00:00	INCLUSAO	BEA.SC	2025-08-28 00:00:00
36656	610	2025-09-17 00:00:00	INCLUSAO	BEA.SC	2025-09-17 00:00:00
36657	648	2025-09-10 00:00:00	INCLUSAO	BEA.SC	2025-09-10 00:00:00
36659	648	2025-09-10 00:00:00	INCLUSAO	BEA.SC	2025-09-10 00:00:00
36660	648	2025-09-10 00:00:00	INCLUSAO	BEA.SC	2025-09-10 00:00:00
36661	773	2025-09-17 00:00:00	INCLUSAO	BEA.SC	2025-09-17 00:00:00
36668	610	2025-09-15 00:00:00	INCLUSAO	BEA.SC	2025-09-15 00:00:00
36669	610	2025-08-12 00:00:00	INCLUSAO	BEA.SC	2025-08-12 00:00:00
36669	610	2025-08-28 00:00:00	INCLUSAO	BEA.SC	2025-08-28 00:00:00
36670	610	2025-08-12 00:00:00	INCLUSAO	BEA.SC	2025-08-12 00:00:00
36670	610	2025-08-28 00:00:00	INCLUSAO	BEA.SC	2025-08-28 00:00:00
36671	610	2025-08-12 00:00:00	INCLUSAO	BEA.SC	2025-08-12 00:00:00
36671	610	2025-08-28 00:00:00	INCLUSAO	BEA.SC	2025-08-28 00:00:00
36672	610	2025-09-17 00:00:00	INCLUSAO	BEA.SC	2025-09-17 00:00:00
36673	610	2025-08-28 00:00:00	INCLUSAO	BEA.SC	2025-08-28 00:00:00
36674	610	2025-08-28 00:00:00	INCLUSAO	BEA.SC	2025-08-28 00:00:00
36674	610	2025-09-17 00:00:00	INCLUSAO	BEA.SC	2025-09-17 00:00:00
36675	610	2025-08-28 00:00:00	INCLUSAO	BEA.SC	2025-08-28 00:00:00
36676	610	2025-08-12 00:00:00	INCLUSAO	BEA.SC	2025-08-12 00:00:00
36676	610	2025-08-28 00:00:00	INCLUSAO	BEA.SC	2025-08-28 00:00:00
36677	610	2025-08-12 00:00:00	INCLUSAO	BEA.SC	2025-08-12 00:00:00
36677	610	2025-08-28 00:00:00	INCLUSAO	BEA.SC	2025-08-28 00:00:00
36677	610	2025-09-15 00:00:00	INCLUSAO	BEA.SC	2025-09-15 00:00:00
36678	610	2025-09-15 00:00:00	INCLUSAO	BEA.SC	2025-09-15 00:00:00
36679	610	2025-08-12 00:00:00	INCLUSAO	BEA.SC	2025-08-12 00:00:00
36679	610	2025-08-28 00:00:00	INCLUSAO	BEA.SC	2025-08-28 00:00:00
36680	610	2025-08-12 00:00:00	INCLUSAO	BEA.SC	2025-08-12 00:00:00
36680	610	2025-08-28 00:00:00	INCLUSAO	BEA.SC	2025-08-28 00:00:00
36680	610	2025-09-15 00:00:00	INCLUSAO	BEA.SC	2025-09-15 00:00:00
36681	610	2025-08-28 00:00:00	INCLUSAO	BEA.SC	2025-08-28 00:00:00
36681	610	2025-08-28 00:00:00	INCLUSAO	BEA.SC	2025-08-28 00:00:00
36681	610	2025-09-15 00:00:00	INCLUSAO	BEA.SC	2025-09-15 00:00:00
