NUSEOBJETO    NUSEQTIPOPATR    DEOBJETO                                                                                                                                                   
654           64               TELEFONE FIXO INTELBRAS TIP 235G                                                                                                                           
655           11               LAVADORA DE ALTA PRESSÃO WAP 5100 TURBO                                                                                                                    
656           59               ARMARIO BAIXO 3 GAVETAS                                                                                                                                    
657           59               ARMARIO BAIXO 1 PORTA MDF                                                                                                                                  
658           58               SMARTPHONE SAMSUNG GALAXY A34                                                                                                                              
659           53               ESCRIVANINHA EM L 2 GAVETAS                                                                                                                                
660           20               CADEIRA DE ESCRITÓRIO SECRETARIA COM BRAÇO REGULÁVEL                                                                                                       
661           20               CADEIRA DIGITADOR COM BRAÇOS                                                                                                                               
662           53               MESA DE ESCRITORIO EM L 2 GAVETAS                                                                                                                          
663           31               REFRIGERADOR CONSUL DEGELO SECO 261 LITROS                                                                                                                 
664           34               MONITOR SAMSUNG 18,5 POLEGADAS                                                                                                                             
665           34               MONITOR LG 19,5 POLEGAS LED HD                                                                                                                             
670           34               MONITOR LG FLATRON 17 POLEGADAS                                                                                                                            
667           34               MONITOR DELL 18,5 POLEGADAS                                                                                                                                
668           34               MONITOR AOC 18,5 POLEGADAS                                                                                                                                 
671           27               CPU DELL OPTIPLEX CORE 2 DUO 4GB SSD 240 GB                                                                                                                
672           27               CPU MINI DELL OPTIPLEX 3020 I5 8GB SSD 240GB                                                                                                               
673           56               QUADRO BRANCO NÃO MAGNÉTICO MOLDURA MADEIRA 150 X 120 CM                                                                                                   
674           15               MICROONDAS MIDEA 20L MINUTO FACIL                                                                                                                          
675           51               FRIGOBAR ELETROLUX R130 110 V  BRANCO                                                                                                                      
679           53               MESA EM MDP CINZA/AZUL 120CMX60CMX75CM                                                                                                                     
677           53               MESA EM MDP CINZA/BRANCO 120CMX60CMX75CM                                                                                                                   
678           53               MESA EM MDP AZUL 120CMX60CMX75CM 2 GAVETAS                                                                                                                 
680           53               MESA EM MDP CINZA/AZUL 120CMX60CMX75CM                                                                                                                     
681           77               SWITCH GIGABIT GERENCIÁVEL DE 16 PORTAS TP-LINK TL-SG116E                                                                                                  
682           53               MESA EM MDP CINZA/AZUL 120CMX60CMX75CM 2 GAVETAS                                                                                                           
683           53               MESA EM MDP CINZA/AZUL REDONDA                                                                                                                             
684           59               ARMARIO 2 PORTAS E 4 PRATELEIRAS                                                                                                                           
685           33               TELEVISÃO SEMP 40 POLEGADAS                                                                                                                                
686           20               CADEIRA DE ESCRITÓRIO GIRATÓRIA EXECUTIVA ERGONÔMICA AZUL MARINHO                                                                                          
687           20               CADEIRA DE ESCRITÓRIO GIRATÓRIA ASSENTO E ENCOSTO EM COMPENSADO MULTILAMINADO COR PRETO                                                                    
688           20               CADEIRA DE ESCRITÓRIO PRESIDENTE GIRATÓRIA COR PRETO                                                                                                       
689           70               LONGARINA 3 LUGARES FERRO COM ASSENTO E ENCOSTO MADEIRA E ESPUMA INJETADA COR PRETA                                                                        
690           53               ESCRIVANINHA EM L 2 GAVETAS COR BRANCA                                                                                                                     
691           34               MONITOR GAMER AOC LED 27" PRETO                                                                                                                            
692           11               LAVADORA DE ALTA PRESSÃO LAVOR MAX                                                                                                                         
693           8                ENCERADEIRA SUPER LUXO DOMESTICA ELECTROLUX                                                                                                                
694           81               PROJETOR                                                                                                                                                   
695           53               MESA DE TAMANCOBOL EM MADEIRA MACIÇA TAMANHO OFICIAL                                                                                                       
696           37               ROTEADOR MODEM VIVO BOX                                                                                                                                    
697           53               MESA DE MARMORE BRANCO CURVADO                                                                                                                             
698           53               MESA DE ESCRITÓRIO EM MDF INDIVIDUAL                                                                                                                       
699           53               MESA DE ESCRITORIO EM L MDF CINZA                                                                                                                          
700           53               TELEVISÃO SAMSUNG 46'' FULL HD PRETO                                                                                                                       
701           59               GUARDA VOLUME 3 GAVETAS DE MADEIRA MARROM COM RODAS                                                                                                        
702           71               VENTILADOR VENTISOL 6 PÁS                                                                                                                                  
703           20               BANCO ESTOFADO PRETO                                                                                                                                       
704           22               AR CONDICIONADO LG SPLIT HI-WALL FRIO 22000 BTUS 220V                                                                                                      
705           53               MESA DE REUNIÃO 5 LUGARES DE VIDRO E SUPORTES DE METAL                                                                                                     
706           20               CADEIRA DE REUNIÃO COURO MARROM FIXA                                                                                                                       
707           53               ESCRIVANINHA DE VIDRO PEQUENA                                                                                                                              
708           59               ARQUIVO DE AÇO JUNIOR COM 4 GAVETAS PATIM CINZA                                                                                                            
709           58               SMARTPHONE SAMSUNG                                                                                                                                         
710           49               PURIFICADOR DE ÁGUA IBBL                                                                                                                                   
711           94               MONITOR DE PRESSÃO ARTERIAL                                                                                                                                
712           93               OXIMETRO INTELBRAS                                                                                                                                         
713           91               MACA COR PRETA                                                                                                                                             
714           92               TRITURADOR DE PAPEL                                                                                                                                        
715           53               MESA DE ESCRITORIO EM L 3 GAVETAS                                                                                                                          
716           58               SMARTPHONE LG K11                                                                                                                                          
717           51               REFRIGERADOR CONSUL COMPACTO 120                                                                                                                           
718           39               ESTANTE SUSPENSA MDF 4 PRATELEIRAS                                                                                                                         
719           22               AR CONDICIONADO SPLIT HI WALL BRITÂNIA 9000 BTU/H FRIO 220 VOLTS                                                                                           
720           34               MONITOR 17 POLEGADAS                                                                                                                                       
721           28               SUPORTE PARA MONITOR                                                                                                                                       
722           70               LONGARINA 5 LUGARES                                                                                                                                        
723           2                ASPIRADOR DE PO HIDROLUX AWD01 5L PRETO E AZUL ELECTROLUX                                                                                                  
724           2                ASPIRADOR DE PO E AGUA ELECTROLUX A10N1 1400W 11L 110V                                                                                                     
725           2                ASPIRADOR DE PO LAVOR VAC 14                                                                                                                               
726           3                BALDE ESPREMEDOR DUO SHELBY                                                                                                                                
727           8                ENCERADEIRA INDUSTRIAL                                                                                                                                     
728           34               MONITOR 22 POLEGADAS                                                                                                                                       
729           34               MONITOR 15 POLEGADAS                                                                                                                                       
730           34               MONITOR 16 POLEGADAS                                                                                                                                       
731           70               LONGARINA 2 LUGARES                                                                                                                                        
732           22               AR CONDICIONADO BRITANIA 9000 BTUS                                                                                                                         
733           8                ENCERADEIRA DC 350 BIVOLT                                                                                                                                  
734           34               MONITOR 19,5 POLEGADAS                                                                                                                                     
735           53               MESA QUADRADA                                                                                                                                              
736           20               CADEIRA COURINO                                                                                                                                            
737           20               CADEIRA COURINO MAIOR                                                                                                                                      
738           59               ARMARIO                                                                                                                                                    
739           7                CORTADOR DE GRAMA ELETRICO                                                                                                                                 
740           23               NOTEBOOK LENOVO S145                                                                                                                                       
741           23               NOTEBOOK ACER A515-51 SERIES                                                                                                                               
742           23               NOTEBOOK POSITIVO S1991                                                                                                                                    
743           23               NOTEBOOK ACER A315-23 SERIES                                                                                                                               
744           23               NOTEBOOK SONY VJF155F11X                                                                                                                                   
745           58               SMARTPHONE MOTOROLA MOTO G5                                                                                                                                
746           58               SMARTPHONE MOTOROLA MOTO E40                                                                                                                               
747           58               SMARTPHONE MOTOROLA MOTO E7                                                                                                                                
748           20               CADEIRA DE ESCRITORIO PRESIDENTE ESTOFADO                                                                                                                  
749           95               LEITOR DE CODIGO DE BARRAS                                                                                                                                 
750           2                ASPIRADOR DE PO E LIQUIDO LAVOR POWER DUO NEW 127V                                                                                                         
751           50               SCANNER FUJITSU 8170                                                                                                                                       
752           22               AR CONDICIONADO CARRIER SPLIT                                                                                                                              
753           50               SCANNER FUJITSU FI-7160                                                                                                                                    
754           22               AR CONDICIONADO PHILCO SPLIT HIGH WALL 12000BTUS                                                                                                           
755           22               AR CONDICIONADO PHILCO SPLIT SYSTEM 12000BTUS                                                                                                              
756           47               CARRO COLETOR DE LIXO 240 LITROS AZUL                                                                                                                      
757           43               CESTO DE LIXO SELETIVO 100 LITROS                                                                                                                          
758           9                ESCADA DE CORRER ALTURA MAX                                                                                                                                
759           96               PULVERIZADOR PALISAD 20 LITROS                                                                                                                             
760           6                CONTENTOR DE LIXO COM RODAS 200 LITROS BRANCO                                                                                                              
761           76               NOBREAK INTERATIVO MONOVOLT INTELBRAS XNB 1800VA 220V COR PRETO                                                                                            
762           18               SOPRADOR DE FOLHAS LATERAL CARBON FAK260S                                                                                                                  
763           34               MONITOR HQ                                                                                                                                                 
764           23               NOTEBOOK LENOVO V15 15" INTEL I5-1235U 8GB 256SSD WINDOWS 11 PRO                                                                                           
765           98               CESTO COM TAMPA 200 LITROS COR PRETO                                                                                                                       
766           98               CESTO COM TAMPA 200 LITROS COR VERDE                                                                                                                       
767           5                CARRO FUNCIONAL COR PRETO                                                                                                                                  
768           34               MONITOR GAMER LG 27 FULL HD, IPS, HDMI E VESA 27MP400-B                                                                                                    
769           34               MONITOR ACER 27 POLEGADAS                                                                                                                                  
851           22               AR CONDICIONADO SAMSUNG VIRUS DOCTOR                                                                                                                       
771           20               CADEIRA ESTOFADA GIRATÓRIA                                                                                                                                 
772           3                BALDE DUE SHELBY 30L COM ESPREMEDOR AMARELO                                                                                                                
773           50               SCANNER                                                                                                                                                    
774           99               IMPRESSORA DE CARTÃO SMART CX                                                                                                                              
775           57               BEBEDOURO ESMALTEC                                                                                                                                         
776           22               AR CONDICIONADO SPRINGER MIDEA 220V                                                                                                                        
777           51               REFRIGERADOR COMPACTO                                                                                                                                      
778           4                CARRINHO DE MÃO 45 LITROS                                                                                                                                  
779           18               SOPRADOR DE FOLHAS A GASOLINA 26CC 2 TEMPOS TEKNA S260TKY                                                                                                  
887           2                ASPIRADOR DE PO E AGUA WAP GTW INOX FW005042 12L                                                                                                           
781           8                ENCERADEIRA INDUSTRIAL MAX CLEAN 350MM H350 COMPLETA                                                                                                       
782           99               IMPRESSORA PARA CARTÃO/CRACHÁ PVC FARGO DTC 1250E DUAL SIDE                                                                                                
783           34               MONITOR BRX LED 20 POLEGADAS HDMI/VGA 60HZ                                                                                                                 
784           27               COMPUTADOR INSPIRON 5430 ALL IN ONE                                                                                                                        
785           59               GAVETEIRO VOLANTE 04 GAVETAS COR CINZA INCOFLEX                                                                                                            
786           37               ROTEADOR VIVO 4G                                                                                                                                           
787           4                CARRINHO DE MÃO 55 LITROS                                                                                                                                  
788           18               SOPRADOR DE FOLHAS VULCAN SV260-S A GASOLINA 2T 26CC                                                                                                       
789           34               MONITOR LED SOYO 19 POL WIDESCREEN HD HDMI/VGA                                                                                                             
790           2                ASPIRADOR DE PO E LIQUIDO LAVOR COMPACT 12 LITROS 127V                                                                                                     
791           9                ESCADA ARTICULADA 12 DEGRAUS                                                                                                                               
792           4                CARRINHO DE ARMAZÉM PARA CARGAS 250KG                                                                                                                      
793           20               CADEIRA SECRETARIA COM REGULAGEM DE ALTURA A GÁS COM BRAÇO                                                                                                 
794           59               GAVETEIRO 4 GAVETAS BRANCO                                                                                                                                 
795           53               MESA DE ESCRITORIO 2 GAVETAS COM CHAVE                                                                                                                     
796           48               IMPRESSORA MULTIFUNCIONAL COR HP MULTIFUNCIONAL DESKJET INK ADVANTAGE 2874 BIVOLT                                                                          
797           100              LAVADORA E SECADORA DE PISO TRIPULADA ALFA TENNANT A670                                                                                                    
798           2                LAVADORA E EXTRATORA DE CARPETE A 135 IPC 220V                                                                                                             
799           5                CARRO FUNCIONAL BLACK                                                                                                                                      
800           3                CARRINHO BALDE ESPREMEDOR WET SYSTEM COM BALDE 30L                                                                                                         
801           2                ASPIRADOR DE PO 1300W 220V                                                                                                                                 
810           8                ENCERADEIRA INDUSTRIAL DEEP CLEAN 300MM PLUS                                                                                                               
804           101              GARRAFA TERMICA                                                                                                                                            
805           37               ROTEADOR ARCHER C80 WI-FI GIGABIT DUAL BAND AC1900 TP-LINK BIVOLT                                                                                          
806           17               ROÇADEIRA KA 85R STIHL 220V                                                                                                                                
807           36               RELOGIO PONTO HENRY SUPER FÁCIL                                                                                                                            
808           18               SOPRADOR DE FOLHAS A GASOLINA                                                                                                                              
809           81               PROJETOR EPSON H981A                                                                                                                                       
811           2                ASPIRADOR DE PO ELECTROLUX FLEX 220V                                                                                                                       
812           11               LAVADORA DE ALTA PRESSÃO LAVOR NEW MAXX 127V                                                                                                               
813           22               AR CONDICIONADO SPLIT SPRINGER INVERTER                                                                                                                    
814           59               ARMARIO DE AÇO ALTO 4 PRATELEIRAS                                                                                                                          
815           59               ARMARIO DE AÇO 3 PRATELEIRAS                                                                                                                               
816           15               MICROONDAS PANASONIC BRANCO 21L                                                                                                                            
817           63               CAFETEIRA MONDIAL PRETA                                                                                                                                    
818           20               CADEIRA DE ESCRITORIO SEM BRAÇO FIXO                                                                                                                       
819           59               ARMARIO BAIXO DE MADEIRA 3 PRATELEIRAS                                                                                                                     
820           49               PURIFICADOR DE AGUA COLORMAQ BRANCO                                                                                                                        
821           99               IMPRESSORA DE CARTÃO/CRACHÁ FARGO HID                                                                                                                      
822           9                ESCADA EXTENSIVA MOR 2X8                                                                                                                                   
823           9                ESCADA EXTENSIVA 9 DEGRAUS                                                                                                                                 
824           34               MONITOR LG FLATRON 29 POLEGADAS                                                                                                                            
825           34               MONITOR LG ULTRAWIDE 29 POLEGADAS                                                                                                                          
826           76               NO BREAK NHS MINI III                                                                                                                                      
827           99               IMPRESSORA DE CRACHÁ P-280                                                                                                                                 
828           71               VENTILADOR                                                                                                                                                 
829           99               IMPRESSORA DE CRACHÁ SMART CH SINGLE SIDE 51S                                                                                                              
830           76               NO BREAK TS SHARA UPS COMPACT PRO UNIVERSAL 1400VA 6X TOMADAS 10A BIVOLT                                                                                   
831           28               SUPORTE PARA MONITOR ELEVADO 20X60X20CM MDF PRETO                                                                                                          
832           34               MONITOR LG BRANCO                                                                                                                                          
833           27               COMPUTADOR DELL ALL IN ONE                                                                                                                                 
834           27               COMPUTADOR ALL IN ONE COMPAQ                                                                                                                               
835           58               SMARTPHONE LG K11+                                                                                                                                         
836           63               CAFETEIRA                                                                                                                                                  
837           59               ARMARIO BALCÃO 8 GAVETAS E 4 PORTAS                                                                                                                        
838           64               TELEFONE FIXO INTELBRAS TIP 125I                                                                                                                           
839           34               MONITOR DELL 24 POLEGADAS                                                                                                                                  
840           50               SCANNER FUJITSU FI-7140                                                                                                                                    
841           2                ASPIRADOR DE PO E AGUA ELECTROLUX 1400W 12L AWD01 110V                                                                                                     
842           11               LAVADORA DE ALTA PRESSÃO VONDER LEVE LAV 1300 90BAR 127V                                                                                                   
843           103              CAIXA DE FERRAMENTAS FERCAR 07 DE METAL 20CM X 50CM X 21CM AZUL                                                                                            
844           4                CARRINHO DE MÃO CARRIOLA 55 LITROS GALVANIZADA                                                                                                             
845           10               FURADEIRA DE IMPACTO BOSCH GSB 16 RE 220V                                                                                                                  
846           44               PARAFUSADEIRA FURADEIRA GSR 120-LI 3/8 POL COM BATERIA 12V                                                                                                 
847           22               AR CONDICIONADO SPLIT GREE SPLIT 12000 BTUS FRIO                                                                                                           
848           14               PARAFUSADEIRA E FURADEIRA BLACK DECKER LD12SC 12V                                                                                                          
849           103              CAIXA DE FERRAMENTAS SANFONADA DE METAL                                                                                                                    
850           10               FURADEIRA MAKITA                                                                                                                                           
852           59               ARMARIO ALTO 4 PORTAS                                                                                                                                      
853           54               SERVIDOR MIGRAÇÃO SHAREPOINT                                                                                                                               
854           34               MONITOR LED BRAZIL PC 20WR 75HZ 20 BIVOLT PRETO                                                                                                            
855           104              EXTRATORA DE ESTOFADO E CARPETE HOME CLEANER 1600W WAP COR AMARELO                                                                                         
856           4                CARRINHO DE MÃO PRETO COM RODA                                                                                                                             
857           17               ROÇADEIRA COSTAL GARTHEN A GASOLINA 42,7 CC RC-4500                                                                                                        
858           11               LAVADORA DE ALTA PRESSÃO WAP TURBO 5100                                                                                                                    
859           105              BALCÃO COM UMA GAVETA E UMA PORTA                                                                                                                          
860           2                ASPIRADOR DE PO E AGUA PORTATIL                                                                                                                            
861           34               MONITOR LG 19.5'' LED 20MK400H-B 1366 X 768 HD                                                                                                             
862           23               NOTEBOOK LENOVO I3 256SSD 4GB WIN 11 CINZA                                                                                                                 
863           106              CABO EXTENSOR LIMPEZA DETALHADA ALTURA 6 METROS                                                                                                            
864           9                ESCADA 2X1 WB TEAF 6X10                                                                                                                                    
865           9                ESCADA DUPLO ACESSO DE FIBRA                                                                                                                               
868           107              SECADOR DE MÃOS PLANET CLEAN                                                                                                                               
869           5                CARRO FUNCIONAL BRALIMPIA AMERICA BLACK BOLSA AMARELA                                                                                                      
870           3                BALDE ESPREMEDOR DUPLO BRALIMPIA B20FAMP AMARELO 20L                                                                                                       
871           11               LAVADORA DE ALTA PRESSÃO VONDER LAV1400 1450LB                                                                                                             
872           1                APARADOR DE GRAMA ELETRICO VONDER AGV1000 1000W                                                                                                            
873           9                ESCADA EXTENSIVEL DE ALUMINIO 2X7 DEGRAUS                                                                                                                  
874           11               LAVADORA DE ALTA PRESSÃO TRAMONTINA 1220W                                                                                                                  
875           96               PULVERIZADOR AGRIC 12,0L PCV120 VONDER PLUS                                                                                                                
876           17               ROÇADEIRA À GASOLINA 32,6CC RGP3                                                                                                                           
877           11               LAVADORA DE ALTA PRESSÃO JACTO J5000                                                                                                                       
878           2                ASPIRADOR DE PO ECOCLEAN 18L                                                                                                                               
879           104              EXTRATORA DE CARPETE CERTEC AEP 1 MOTOR 27L                                                                                                                
880           8                ENCERADEIRA CERTEC 350                                                                                                                                     
881           8                ENCERADEIRA CERTEC 550                                                                                                                                     
882           11               LAVADORA DE ALTA PRESSÃO JACTO J5000 STOP TOTAL                                                                                                            
883           1                APARADOR DE GRAMA TRAMONTINA                                                                                                                               
884           3                BALDE ESPREMEDOR DUO                                                                                                                                       
885           108              LAVADORA AUTOMÁTICA ARTLAV PRATICARE 350B                                                                                                                  
886           17               ROÇADEIRA LATERAL A GASOLINA BRUDDEN K430                                                                                                                  
888           11               LAVADORA DE ALTA PRESSÃO MAKITA 1.450 LIBRAS HW101                                                                                                         
889           57               BEBEDOURO KNOX IND 25L PRATA                                                                                                                               
890           31               GELADEIRA CONSUL 365L BRANCA                                                                                                                               
891           31               GELADEIRA CONSUL 275L BRANCA                                                                                                                               
892           29               CLIMATIZADOR PHILCO PCLIQF                                                                                                                                 
893           31               GELADEIRA MINI                                                                                                                                             
894           15               MICROONDAS ELECTROLUX 20L                                                                                                                                  
895           15               MICROONDAS ELECTROLUX 23L                                                                                                                                  
896           15               MICROONDAS MIDEA 20L                                                                                                                                       
897           15               MICROONDAS PANASONIC 25L                                                                                                                                   
898           57               BEBEDOURO GIRA 25L                                                                                                                                         
899           15               MICROONDAS CONSUL 20L CMA20BBANA                                                                                                                           
900           71               VENTILADOR PEDESTAL SEGMA SEG221                                                                                                                           
902           33               TELEVISÃO SMART SEMP TOSHIBA 40''                                                                                                                          
903           33               TELEVISÃO AOC 40''                                                                                                                                         
904           77               SWITCH                                                                                                                                                     
